レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
,app_tidl_main(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"AppObj, gAppObj, createParams, setCreateParams, disp_params, disp_params_obj",apps/dl_demos/app_tidl/main.c,共通/その他
,createInputTensors(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"numInputBuf, AppObj, numOutputBuf, imgParams",apps/dl_demos/app_tidl/main.c,共通/その他
,displayOutput(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,numOutputBuf,apps/dl_demos/app_tidl/main.c,共通/その他
,resizeImage(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"AppObj, imgParams, numInputBuf",apps/dl_demos/app_tidl/main.c,共通/その他
,app_create_graph_post_proc_od(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"postProcObj, PostProcObj, tivxPixelVizParams, viz_params, tivxTIDLJ7Params, tidlParams, numOutputBuf, numInputBuf",apps/dl_demos/app_tidl_avp/avp_post_proc_module.c,共通/その他
,app_create_graph_post_proc_pc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"postProcObj, PostProcObj",apps/dl_demos/app_tidl_avp/avp_post_proc_module.c,共通/その他
,app_deinit_post_proc_od(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"postProcObj, PostProcObj, tivxPixelVizParams, viz_params, tivxTIDLJ7Params, tidlParams, numOutputBuf, numInputBuf",apps/dl_demos/app_tidl_avp/avp_post_proc_module.c,共通/その他
,app_deinit_post_proc_pc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"postProcObj, PostProcObj",apps/dl_demos/app_tidl_avp/avp_post_proc_module.c,共通/その他
,app_delete_post_proc_od(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"postProcObj, PostProcObj, tivxPixelVizParams, viz_params, tivxTIDLJ7Params, tidlParams, numOutputBuf, numInputBuf",apps/dl_demos/app_tidl_avp/avp_post_proc_module.c,共通/その他
,app_delete_post_proc_pc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"postProcObj, PostProcObj",apps/dl_demos/app_tidl_avp/avp_post_proc_module.c,共通/その他
,drawDetections(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,postProcObj,apps/dl_demos/app_tidl_avp/avp_post_proc_module.c,共通/その他
,drawPoints(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"postProcObj, PostProcObj",apps/dl_demos/app_tidl_avp/avp_post_proc_module.c,共通/その他
,fillTableTensors(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,postProcObj,apps/dl_demos/app_tidl_avp/avp_post_proc_module.c,共通/その他
,app_deinit_pre_proc_od(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"preProcObj, PreProcObj, tivxImgPreProcParams, tivxTIDLJ7Params, tidlParams, numInputBuf, numOutputBuf",apps/dl_demos/app_tidl_avp/avp_pre_proc_module.c,共通/その他
,app_deinit_pre_proc_pc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"preProcObj, PreProcObj, tivxTIDLJ7Params, tidlParams, numInputBuf",apps/dl_demos/app_tidl_avp/avp_pre_proc_module.c,共通/その他
,app_delete_pre_proc_od(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"preProcObj, PreProcObj, tivxImgPreProcParams, tivxTIDLJ7Params, tidlParams, numInputBuf, numOutputBuf",apps/dl_demos/app_tidl_avp/avp_pre_proc_module.c,共通/その他
,app_delete_pre_proc_pc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"preProcObj, PreProcObj, tivxTIDLJ7Params, tidlParams, numInputBuf",apps/dl_demos/app_tidl_avp/avp_pre_proc_module.c,共通/その他
,app_deinit_tidl_od(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tidlObj, createParams, TIDLObj, TIDL_CreateParams, setCreateParams",apps/dl_demos/app_tidl_avp/avp_tidl_module.c,共通/その他
,app_deinit_tidl_pc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tidlObj, createParams, TIDLObj, tivxTIDLJ7Params, tidlParams",apps/dl_demos/app_tidl_avp/avp_tidl_module.c,共通/その他
,app_delete_tidl_od(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tidlObj, TIDLObj, createParams, TIDL_CreateParams, setCreateParams",apps/dl_demos/app_tidl_avp/avp_tidl_module.c,共通/その他
,app_delete_tidl_pc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"tidlObj, TIDLObj, createParams, tivxTIDLJ7Params, tidlParams",apps/dl_demos/app_tidl_avp/avp_tidl_module.c,共通/その他
,app_update_draw_detections_params(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: for depth this is different from num_classes. num_classes is used for visualization granuaility）,for depth this is different from num_classes. num_classes is used for visualization granuaility,for depth this is different from num_classes. num_classes is used for visualization granuaility,"drawDetectionsObj, AppObj, ImgMosaicObj, imgMosaicObj, DisplayObj, displayObj, psdPreProcObj, vdPreProcObj, segPreProcObj, psdPostProcObj",apps/dl_demos/app_tidl_avp/main.c,共通/その他
,set_draw_detection_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: for depth this is different from num_classes. num_classes is used for visualization granuaility）,for depth this is different from num_classes. num_classes is used for visualization granuaility,for depth this is different from num_classes. num_classes is used for visualization granuaility,"drawDetectionsObj, app_update_draw_detections_params, DrawDetectionsObj, AppObj, ImgMosaicObj, imgMosaicObj, DisplayObj, displayObj, psdPreProcObj, vdPreProcObj",apps/dl_demos/app_tidl_avp/main.c,共通/その他
,set_post_proc_defaults_pc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"postProcObj, viz_params, AppObj, PostProcObj, scalerObj, DrawDetectionsObj, drawDetectionsObj, app_update_draw_detections_params, ImgMosaicObj, imgMosaicObj",apps/dl_demos/app_tidl_avp/main.c,共通/その他
,set_pre_proc_defaults_od(),その他,タスクループ,一般的な制御ロジックを実行する（注記: user asked to 停止する processing）,user asked to stop processing,user asked to 停止する processing,"preProcObj, AppObj, PreProcObj, PostProcObj, postProcObj, scalerObj, viz_params, DrawDetectionsObj, drawDetectionsObj, app_update_draw_detections_params",apps/dl_demos/app_tidl_avp/main.c,共通/その他
,set_pre_proc_defaults_pc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"preProcObj, AppObj, PreProcObj, PostProcObj, postProcObj, viz_params, scalerObj, DrawDetectionsObj, drawDetectionsObj, app_update_draw_detections_params",apps/dl_demos/app_tidl_avp/main.c,共通/その他
,update_post_proc_params_pc(),その他,タスクループ,一般的な制御ロジックを実行する（注記: 63 values - depth range）,63 values - depth range,63 values - depth range,"postProcObj, scalerObj, viz_params, DrawDetectionsObj, drawDetectionsObj, app_update_draw_detections_params, AppObj, ImgMosaicObj, imgMosaicObj, DisplayObj",apps/dl_demos/app_tidl_avp/main.c,共通/その他
,update_pre_proc_params_od(),その他,タスクループ,一般的な制御ロジックを実行する（注記: user asked to 停止する processing）,user asked to stop processing,user asked to 停止する processing,"preProcObj, PostProcObj, postProcObj, AppObj, scalerObj, PreProcObj, viz_params, DrawDetectionsObj, drawDetectionsObj, app_update_draw_detections_params",apps/dl_demos/app_tidl_avp/main.c,共通/その他
,update_pre_proc_params_pc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"preProcObj, PostProcObj, postProcObj, viz_params, AppObj, scalerObj, DrawDetectionsObj, drawDetectionsObj, app_update_draw_detections_params, ImgMosaicObj",apps/dl_demos/app_tidl_avp/main.c,共通/その他
,app_deinit_dof_viz(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofVizObj, DofVizObj",apps/dl_demos/app_tidl_avp3/avp_dof_viz_module.c,共通/その他
,app_delete_dof_viz(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofVizObj, DofVizObj",apps/dl_demos/app_tidl_avp3/avp_dof_viz_module.c,共通/その他
,app_deinit_dof_pre_proc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofPreProcObj, DofPreProcObj",apps/dl_demos/app_tidl_avp3/avp_pre_proc_module.c,共通/その他
,app_delete_dof_pre_proc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofPreProcObj, DofPreProcObj",apps/dl_demos/app_tidl_avp3/avp_pre_proc_module.c,共通/その他
,set_dof_pre_proc_defaults(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofPreProcObj, update_dof_pre_proc_params, AppObj, DofPreProcObj, scalerObj, PostProcObj, postProcObj, viz_params, DrawDetectionsObj, drawDetectionsObj",apps/dl_demos/app_tidl_avp3/main.c,共通/その他
,set_dof_viz_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"dofVizObj, AppObj, pyramidObj, dofProcObj, dofPreProcObj, preProcObj, odPostProcObj, pcPostProcObj, psdDrawDetectionsObj, vdDrawDetectionsObj",apps/dl_demos/app_tidl_avp3/main.c,共通/その他
,set_img_mosaic_frame1(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: Number of time to clear the output バッファ before it gets reused）,Number of time to clear the output buffer before it gets reused,Number of time to clear the output バッファ before it gets reused,"imgMosaicObj, DisplayObj, displayObj, AppObj, PyramidObj, pyramidObj, DofProcObj, dofProcObj, enable_flow_vec_delay_obj, DofVizObj",apps/dl_demos/app_tidl_avp3/main.c,共通/その他
,set_img_mosaic_frame2(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"imgMosaicObj, AppObj, ImgMosaicObj",apps/dl_demos/app_tidl_avp3/main.c,共通/その他
,update_dof_pre_proc_params(),その他,タスクループ,一般的な制御ロジックを実行する,,,"dofPreProcObj, scalerObj, PostProcObj, postProcObj, AppObj, viz_params, DrawDetectionsObj, drawDetectionsObj, app_update_draw_detections_params, ImgMosaicObj",apps/dl_demos/app_tidl_avp3/main.c,共通/その他
,app_deinit_dof_proc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofProcObj, DofProcObj",apps/dl_demos/app_tidl_avp4/app_dof_proc_module.c,共通/その他
,app_delete_dof_proc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"dofProcObj, DofProcObj",apps/dl_demos/app_tidl_avp4/app_dof_proc_module.c,共通/その他
,app_deinit_img_hist(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"imgHistObj, ImgHistObj",apps/dl_demos/app_tidl_avp4/app_img_hist_module.c,共通/その他
,app_delete_img_hist(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"imgHistObj, ImgHistObj",apps/dl_demos/app_tidl_avp4/app_img_hist_module.c,共通/その他
